DATE,Population
01-01-1959,175818
01-02-1959,176044
01-03-1959,176274
01-04-1959,176503
01-05-1959,176723
01-06-1959,176954
01-07-1959,177208
01-08-1959,177479
01-09-1959,177755
01-10-1959,178026
01-11-1959,178273
01-12-1959,178504
01-01-1960,178925
01-02-1960,179326
01-03-1960,179707
01-04-1960,180067
01-05-1960,180408
01-06-1960,180728
01-07-1960,181028
01-08-1960,181308
01-09-1960,181567
01-10-1960,181807
01-11-1960,182026
01-12-1960,182225
01-01-1961,182404
01-02-1961,182631
01-03-1961,182867
01-04-1961,183105
01-05-1961,183335
01-06-1961,183572
01-07-1961,183825
01-08-1961,184101
01-09-1961,184384
01-10-1961,184654
01-11-1961,184900
01-12-1961,185129
01-01-1962,185347
01-02-1962,185551
01-03-1962,185762
01-04-1962,185981
01-05-1962,186201
01-06-1962,186426
01-07-1962,186664
01-08-1962,186924
01-09-1962,187191
01-10-1962,187449
01-11-1962,187685
01-12-1962,187905
01-01-1963,188113
01-02-1963,188300
01-03-1963,188484
01-04-1963,188685
01-05-1963,188904
01-06-1963,189130
01-07-1963,189369
01-08-1963,189629
01-09-1963,189895
01-10-1963,190147
01-11-1963,190369
01-12-1963,190570
01-01-1964,190763
01-02-1964,190953
01-03-1964,191146
01-04-1964,191346
01-05-1964,191557
01-06-1964,191778
01-07-1964,192010
01-08-1964,192254
01-09-1964,192504
01-10-1964,192739
01-11-1964,192943
01-12-1964,193131
01-01-1965,193308
01-02-1965,193467
01-03-1965,193625
01-04-1965,193799
01-05-1965,193988
01-06-1965,194195
01-07-1965,194416
01-08-1965,194645
01-09-1965,194879
01-10-1965,195096
01-11-1965,195284
01-12-1965,195456
01-01-1966,195614
01-02-1966,195760
01-03-1966,195915
01-04-1966,196089
01-05-1966,196275
01-06-1966,196466
01-07-1966,196661
01-08-1966,196873
01-09-1966,197096
01-10-1966,197303
01-11-1966,197485
01-12-1966,197654
01-01-1967,197814
01-02-1967,197965
01-03-1967,198122
01-04-1967,198287
01-05-1967,198452
01-06-1967,198627
01-07-1967,198812
01-08-1967,199012
01-09-1967,199212
01-10-1967,199405
01-11-1967,199578
01-12-1967,199733
01-01-1968,199864
01-02-1968,199988
01-03-1968,200132
01-04-1968,200285
01-05-1968,200449
01-06-1968,200621
01-07-1968,200802
01-08-1968,200997
01-09-1968,201193
01-10-1968,201378
01-11-1968,201544
01-12-1968,201691
01-01-1969,201821
01-02-1969,201952
01-03-1969,202092
01-04-1969,202246
01-05-1969,202419
01-06-1969,202592
01-07-1969,202777
01-08-1969,202984
01-09-1969,203196
01-10-1969,203401
01-11-1969,203588
01-12-1969,203762
01-01-1970,203929
01-02-1970,204082
01-03-1970,204246
01-04-1970,204504
01-05-1970,204719
01-06-1970,204941
01-07-1970,205174
01-08-1970,205418
01-09-1970,205664
01-10-1970,205906
01-11-1970,206131
01-12-1970,206352
01-01-1971,206567
01-02-1971,206762
01-03-1971,206960
01-04-1971,207163
01-05-1971,207361
01-06-1971,207562
01-07-1971,207771
01-08-1971,207998
01-09-1971,208230
01-10-1971,208450
01-11-1971,208648
01-12-1971,208829
01-01-1972,208989
01-02-1972,209137
01-03-1972,209299
01-04-1972,209466
01-05-1972,209635
01-06-1972,209811
01-07-1972,209986
01-08-1972,210177
01-09-1972,210379
01-10-1972,210568
01-11-1972,210739
01-12-1972,210903
01-01-1973,211053
01-02-1973,211187
01-03-1973,211337
01-04-1973,211499
01-05-1973,211662
01-06-1973,211828
01-07-1973,212001
01-08-1973,212191
01-09-1973,212382
01-10-1973,212555
01-11-1973,212710
01-12-1973,212859
01-01-1974,213003
01-02-1974,213143
01-03-1974,213286
01-04-1974,213437
01-05-1974,213600
01-06-1974,213770
01-07-1974,213948
01-08-1974,214144
01-09-1974,214349
01-10-1974,214538
01-11-1974,214704
01-12-1974,214857
01-01-1975,214998
01-02-1975,215132
01-03-1975,215276
01-04-1975,215438
01-05-1975,215646
01-06-1975,215871
01-07-1975,216084
01-08-1975,216294
01-09-1975,216490
01-10-1975,216679
01-11-1975,216851
01-12-1975,217013
01-01-1976,217172
01-02-1976,217315
01-03-1976,217455
01-04-1976,217607
01-05-1976,217773
01-06-1976,217948
01-07-1976,218134
01-08-1976,218337
01-09-1976,218542
01-10-1976,218739
01-11-1976,218920
01-12-1976,219093
01-01-1977,219262
01-02-1977,219424
01-03-1977,219594
01-04-1977,219772
01-05-1977,219953
01-06-1977,220143
01-07-1977,220349
01-08-1977,220573
01-09-1977,220796
01-10-1977,221007
01-11-1977,221206
01-12-1977,221390
01-01-1978,221553
01-02-1978,221711
01-03-1978,221892
01-04-1978,222084
01-05-1978,222278
01-06-1978,222482
01-07-1978,222697
01-08-1978,222933
01-09-1978,223168
01-10-1978,223383
01-11-1978,223585
01-12-1978,223781
01-01-1979,223973
01-02-1979,224150
01-03-1979,224333
01-04-1979,224529
01-05-1979,224734
01-06-1979,224948
01-07-1979,225174
01-08-1979,225419
01-09-1979,225662
01-10-1979,225893
01-11-1979,226120
01-12-1979,226339
01-01-1980,226554
01-02-1980,226753
01-03-1980,226955
01-04-1980,227156
01-05-1980,227387
01-06-1980,227624
01-07-1980,227840
01-08-1980,228070
01-09-1980,228302
01-10-1980,228515
01-11-1980,228696
01-12-1980,228858
01-01-1981,229004
01-02-1981,229148
01-03-1981,229314
01-04-1981,229489
01-05-1981,229668
01-06-1981,229864
01-07-1981,230077
01-08-1981,230300
01-09-1981,230527
01-10-1981,230732
01-11-1981,230906
01-12-1981,231073
01-01-1982,231235
01-02-1982,231392
01-03-1982,231558
01-04-1982,231727
01-05-1982,231901
01-06-1982,232090
01-07-1982,232290
01-08-1982,232496
01-09-1982,232708
01-10-1982,232905
01-11-1982,233077
01-12-1982,233241
01-01-1983,233398
01-02-1983,233543
01-03-1983,233697
01-04-1983,233852
01-05-1983,234020
01-06-1983,234213
01-07-1983,234404
01-08-1983,234601
01-09-1983,234804
01-10-1983,234993
01-11-1983,235157
01-12-1983,235310
01-01-1984,235456
01-02-1984,235601
01-03-1984,235757
01-04-1984,235916
01-05-1984,236077
01-06-1984,236254
01-07-1984,236449
01-08-1984,236655
01-09-1984,236868
01-10-1984,237068
01-11-1984,237238
01-12-1984,237392
01-01-1985,237535
01-02-1985,237667
01-03-1985,237816
01-04-1985,237987
01-05-1985,238172
01-06-1985,238368
01-07-1985,238573
01-08-1985,238789
01-09-1985,239006
01-10-1985,239210
01-11-1985,239392
01-12-1985,239558
01-01-1986,239713
01-02-1986,239858
01-03-1986,240011
01-04-1986,240183
01-05-1986,240365
01-06-1986,240555
01-07-1986,240753
01-08-1986,240961
01-09-1986,241171
01-10-1986,241371
01-11-1986,241544
01-12-1986,241702
01-01-1987,241857
01-02-1987,242005
01-03-1987,242166
01-04-1987,242338
01-05-1987,242516
01-06-1987,242706
01-07-1987,242908
01-08-1987,243118
01-09-1987,243335
01-10-1987,243543
01-11-1987,243724
01-12-1987,243895
01-01-1988,244056
01-02-1988,244205
01-03-1988,244362
01-04-1988,244528
01-05-1988,244708
01-06-1988,244914
01-07-1988,245131
01-08-1988,245352
01-09-1988,245579
01-10-1988,245789
01-11-1988,245970
01-12-1988,246140
01-01-1989,246301
01-02-1989,246454
01-03-1989,246626
01-04-1989,246814
01-05-1989,247010
01-06-1989,247228
01-07-1989,247458
01-08-1989,247695
01-09-1989,247942
01-10-1989,248174
01-11-1989,248380
01-12-1989,248569
01-01-1990,248743
01-02-1990,248920
01-03-1990,249146
01-04-1990,249436
01-05-1990,249707
01-06-1990,249990
01-07-1990,250285
01-08-1990,250595
01-09-1990,250904
01-10-1990,251201
01-11-1990,251486
01-12-1990,251758
01-01-1991,252012
01-02-1991,252253
01-03-1991,252507
01-04-1991,252778
01-05-1991,253060
01-06-1991,253350
01-07-1991,253650
01-08-1991,253966
01-09-1991,254280
01-10-1991,254576
01-11-1991,254841
01-12-1991,255089
01-01-1992,255331
01-02-1992,255576
01-03-1992,255848
01-04-1992,256139
01-05-1992,256437
01-06-1992,256742
01-07-1992,257063
01-08-1992,257390
01-09-1992,257704
01-10-1992,258004
01-11-1992,258280
01-12-1992,258546
01-01-1993,258799
01-02-1993,259036
01-03-1993,259283
01-04-1993,259547
01-05-1993,259822
01-06-1993,260109
01-07-1993,260411
01-08-1993,260717
01-09-1993,261015
01-10-1993,261294
01-11-1993,261550
01-12-1993,261796
01-01-1994,262021
01-02-1994,262237
01-03-1994,262491
01-04-1994,262754
01-05-1994,263014
01-06-1994,263294
01-07-1994,263580
01-08-1994,263871
01-09-1994,264159
01-10-1994,264430
01-11-1994,264681
01-12-1994,264924
01-01-1995,265157
01-02-1995,265383
01-03-1995,265625
01-04-1995,265877
01-05-1995,266134
01-06-1995,266414
01-07-1995,266700
01-08-1995,266998
01-09-1995,267304
01-10-1995,267585
01-11-1995,267829
01-12-1995,268047
01-01-1996,268258
01-02-1996,268480
01-03-1996,268724
01-04-1996,268980
01-05-1996,269247
01-06-1996,269527
01-07-1996,269822
01-08-1996,270130
01-09-1996,270433
01-10-1996,270730
01-11-1996,271002
01-12-1996,271243
01-01-1997,271472
01-02-1997,271703
01-03-1997,271952
01-04-1997,272213
01-05-1997,272482
01-06-1997,272767
01-07-1997,273074
01-08-1997,273395
01-09-1997,273703
01-10-1997,273989
01-11-1997,274249
01-12-1997,274499
01-01-1998,274732
01-02-1998,274943
01-03-1998,275175
01-04-1998,275434
01-05-1998,275700
01-06-1998,275976
01-07-1998,276266
01-08-1998,276566
01-09-1998,276859
01-10-1998,277140
01-11-1998,277402
01-12-1998,277658
01-01-1999,277891
01-02-1999,278095
01-03-1999,278324
01-04-1999,278584
01-05-1999,278859
01-06-1999,279148
01-07-1999,279448
01-08-1999,279752
01-09-1999,280053
01-10-1999,280337
01-11-1999,280594
01-12-1999,280846
01-01-2000,281083
01-02-2000,281299
01-03-2000,281531
01-04-2000,281763
01-05-2000,281996
01-06-2000,282247
01-07-2000,282504
01-08-2000,282769
01-09-2000,283033
01-10-2000,283285
01-11-2000,283523
01-12-2000,283748
01-01-2001,283960
01-02-2001,284166
01-03-2001,284380
01-04-2001,284602
01-05-2001,284834
01-06-2001,285076
01-07-2001,285324
01-08-2001,285584
01-09-2001,285842
01-10-2001,286086
01-11-2001,286315
01-12-2001,286533
01-01-2002,286739
01-02-2002,286935
01-03-2002,287131
01-04-2002,287343
01-05-2002,287571
01-06-2002,287808
01-07-2002,288051
01-08-2002,288303
01-09-2002,288554
01-10-2002,288794
01-11-2002,289012
01-12-2002,289214
01-01-2003,289412
01-02-2003,289606
01-03-2003,289809
01-04-2003,290024
01-05-2003,290250
01-06-2003,290484
01-07-2003,290726
01-08-2003,290974
01-09-2003,291222
01-10-2003,291463
01-11-2003,291677
01-12-2003,291868
01-01-2004,292046
01-02-2004,292230
01-03-2004,292434
01-04-2004,292651
01-05-2004,292872
01-06-2004,293103
01-07-2004,293350
01-08-2004,293603
01-09-2004,293857
01-10-2004,294104
01-11-2004,294337
01-12-2004,294561
01-01-2005,294768
01-02-2005,294955
01-03-2005,295149
01-04-2005,295359
01-05-2005,295582
01-06-2005,295824
01-07-2005,296077
01-08-2005,296338
01-09-2005,296606
01-10-2005,296857
01-11-2005,297089
01-12-2005,297311
01-01-2006,297526
01-02-2006,297734
01-03-2006,297950
01-04-2006,298170
01-05-2006,298401
01-06-2006,298653
01-07-2006,298910
01-08-2006,299178
01-09-2006,299452
01-10-2006,299710
01-11-2006,299950
01-12-2006,300178
01-01-2007,300398
01-02-2007,300608
01-03-2007,300823
01-04-2007,301045
01-05-2007,301278
01-06-2007,301528
01-07-2007,301790
01-08-2007,302064
01-09-2007,302334
01-10-2007,302590
01-11-2007,302834
01-12-2007,303062
01-01-2008,303280
01-02-2008,303494
01-03-2008,303707
01-04-2008,303926
01-05-2008,304157
01-06-2008,304396
01-07-2008,304646
01-08-2008,304903
01-09-2008,305158
01-10-2008,305403
01-11-2008,305620
01-12-2008,305827
01-01-2009,306035
01-02-2009,306237
01-03-2009,306438
01-04-2009,306645
01-05-2009,306863
01-06-2009,307090
01-07-2009,307322
01-08-2009,307570
01-09-2009,307826
01-10-2009,308071
01-11-2009,308289
01-12-2009,308495
01-01-2010,308706
01-02-2010,308904
01-03-2010,309095
01-04-2010,309289
01-05-2010,309485
01-06-2010,309691
01-07-2010,309913
01-08-2010,310146
01-09-2010,310385
01-10-2010,310612
01-11-2010,310820
01-12-2010,311020
01-01-2011,311204
01-02-2011,311373
01-03-2011,311551
01-04-2011,311740
01-05-2011,311935
01-06-2011,312147
01-07-2011,312372
01-08-2011,312605
01-09-2011,312842
01-10-2011,313060
01-11-2011,313260
01-12-2011,313454
01-01-2012,313636
01-02-2012,313811
01-03-2012,313993
01-04-2012,314176
01-05-2012,314368
01-06-2012,314576
01-07-2012,314796
01-08-2012,315031
01-09-2012,315264
01-10-2012,315485
01-11-2012,315692
01-12-2012,315877
01-01-2013,316038
01-02-2013,316191
01-03-2013,316357
01-04-2013,316535
01-05-2013,316729
01-06-2013,316934
01-07-2013,317156
01-08-2013,317397
01-09-2013,317635
01-10-2013,317864
01-11-2013,318076
01-12-2013,318276
01-01-2014,318464
01-02-2014,318642
01-03-2014,318827
01-04-2014,319020
01-05-2014,319225
01-06-2014,319438
01-07-2014,319670
01-08-2014,319919
01-09-2014,320166
01-10-2014,320403
01-11-2014,320616
01-12-2014,320815
01-01-2015,320997
01-02-2015,321164
01-03-2015,321344
01-04-2015,321538
01-05-2015,321740
01-06-2015,321954
01-07-2015,322186
01-08-2015,322427
01-09-2015,322670
01-10-2015,322901
01-11-2015,323113
01-12-2015,323318
01-01-2016,323509
01-02-2016,323687
01-03-2016,323871
01-04-2016,324061
01-05-2016,324260
01-06-2016,324476
01-07-2016,324697
01-08-2016,324924
01-09-2016,325155
01-10-2016,325368
01-11-2016,325562
01-12-2016,325742
01-01-2017,325901
01-02-2017,326050
01-03-2017,326207
01-04-2017,326371
01-05-2017,326548
01-06-2017,326743
01-07-2017,326939
01-08-2017,327140
01-09-2017,327342
01-10-2017,327528
01-11-2017,327699
01-12-2017,327848
01-01-2018,327969
01-02-2018,328085
01-03-2018,328219
01-04-2018,328364
01-05-2018,328521
01-06-2018,328692
01-07-2018,328863
01-08-2018,329040
01-09-2018,329216
01-10-2018,329379
01-11-2018,329527
01-12-2018,329659
01-01-2019,329766
01-02-2019,329862
01-03-2019,329977
01-04-2019,330103
01-05-2019,330240
01-06-2019,330393
01-07-2019,330553
01-08-2019,330729
01-09-2019,330904
01-10-2019,331066
01-11-2019,331213
01-12-2019,331345
01-01-2020,331443
01-02-2020,331525
01-03-2020,331634
01-04-2020,331684
01-05-2020,331685
01-06-2020,331728
01-07-2020,331795
01-08-2020,331870
01-09-2020,331950
01-10-2020,332025
01-11-2020,332063
01-12-2020,332047
01-01-2021,331992
01-02-2021,331968
01-03-2021,332007
01-04-2021,332073
01-05-2021,332144
01-06-2021,332231
01-07-2021,332358
01-08-2021,332489
01-09-2021,332594
01-10-2021,332692
01-11-2021,332790
01-12-2021,332876
01-01-2022,332918
01-02-2022,332959
01-03-2022,333056
01-04-2022,333184
01-05-2022,333317
01-06-2022,333460
01-07-2022,333624
01-08-2022,333799
01-09-2022,333976
01-10-2022,334141
01-11-2022,334287
01-12-2022,334420
01-01-2023,334533
01-02-2023,334637
01-03-2023,334753
01-04-2023,334880
01-05-2023,335013
01-06-2023,335163
01-07-2023,335329
